input_size,compressed_size,p,level
1048576,858630,0.75,13
1048576,820271,0.775,13
1048576,781481,0.8,13
1048576,739054,0.825,13
1048576,690200,0.85,13
1048576,632287,0.875,13
1048576,562225,0.9,13
1048576,476337,0.925,13
1048576,370935,0.95,13
1048576,237162,0.975,13
1048576,54,1.0,13
1048576,54,0.0,14
1048576,229490,0.025,14
1048576,366963,0.05,14
1048576,474939,0.075,14
1048576,561707,0.1,14
1048576,632184,0.125,14
1048576,690554,0.15,14
1048576,739421,0.175,14
1048576,781662,0.2,14
1048576,820129,0.225,14
1048576,858368,0.25,14
1048576,895297,0.275,14
1048576,929549,0.3,14
1048576,961981,0.325,14
1048576,985556,0.35,14
1048576,1004836,0.375,14
1048576,1022190,0.4,14
1048576,1048613,0.425,14
1048576,1048613,0.45,14
1048576,1048613,0.475,14
1048576,1048613,0.5,14
1048576,1048613,0.525,14
1048576,1048613,0.55,14
1048576,1048613,0.575,14
1048576,1022038,0.6,14
1048576,1004834,0.625,14
1048576,985472,0.65,14
1048576,962180,0.675,14
1048576,928967,0.7,14
1048576,895289,0.725,14
1048576,858630,0.75,14
1048576,820271,0.775,14
1048576,781481,0.8,14
1048576,739054,0.825,14
1048576,690204,0.85,14
1048576,632277,0.875,14
1048576,561972,0.9,14
1048576,474802,0.925,14
1048576,366256,0.95,14
1048576,229606,0.975,14
1048576,54,1.0,14
1048576,54,0.0,15
1048576,225701,0.025,15
1048576,365508,0.05,15
1048576,474770,0.075,15
1048576,561706,0.1,15
1048576,632184,0.125,15
1048576,690554,0.15,15
1048576,739421,0.175,15
1048576,781662,0.2,15
1048576,820129,0.225,15
1048576,858368,0.25,15
1048576,895297,0.275,15
1048576,929549,0.3,15
1048576,961981,0.325,15
1048576,985556,0.35,15
1048576,1004836,0.375,15
1048576,1022190,0.4,15
1048576,1048613,0.425,15
1048576,1048613,0.45,15
1048576,1048613,0.475,15
1048576,1048613,0.5,15
1048576,1048613,0.525,15
1048576,1048613,0.55,15
1048576,1048613,0.575,15
1048576,1022038,0.6,15
1048576,1004834,0.625,15
1048576,985472,0.65,15
1048576,962180,0.675,15
1048576,928967,0.7,15
1048576,895289,0.725,15
1048576,858630,0.75,15
1048576,820271,0.775,15
1048576,781481,0.8,15
1048576,739054,0.825,15
1048576,690204,0.85,15
1048576,632277,0.875,15
1048576,561972,0.9,15
1048576,474583,0.925,15
1048576,364826,0.95,15
1048576,226107,0.975,15
1048576,54,1.0,15
1048576,53,0.0,16
1048576,208727,0.025,16
1048576,319489,0.05,16
1048576,417617,0.075,16
1048576,511847,0.1,16
1048576,588231,0.125,16
1048576,655156,0.15,16
1048576,713903,0.175,16
1048576,770675,0.2,16
1048576,815162,0.225,16
1048576,857639,0.25,16
1048576,895472,0.275,16
1048576,929662,0.3,16
1048576,962039,0.325,16
1048576,985591,0.35,16
1048576,1004850,0.375,16
1048576,1022190,0.4,16
1048576,1048613,0.425,16
1048576,1048613,0.45,16
1048576,1048613,0.475,16
1048576,1048613,0.5,16
1048576,1048613,0.525,16
1048576,1048613,0.55,16
1048576,1048613,0.575,16
1048576,1022047,0.6,16
1048576,1004848,0.625,16
1048576,985500,0.65,16
1048576,962246,0.675,16
1048576,929110,0.7,16
1048576,895576,0.725,16
1048576,858152,0.75,16
1048576,815343,0.775,16
1048576,770613,0.8,16
1048576,714116,0.825,16
1048576,654775,0.85,16
1048576,588799,0.875,16
1048576,508904,0.9,16
1048576,416776,0.925,16
1048576,318742,0.95,16
1048576,209819,0.975,16
1048576,53,1.0,16
1048576,53,0.0,17
1048576,208596,0.025,17
1048576,319485,0.05,17
1048576,417674,0.075,17
1048576,509161,0.1,17
1048576,588495,0.125,17
1048576,655139,0.15,17
1048576,713916,0.175,17
1048576,770877,0.2,17
1048576,815257,0.225,17
1048576,857773,0.25,17
1048576,895879,0.275,17
1048576,930023,0.3,17
1048576,962455,0.325,17
1048576,985871,0.35,17
1048576,1005153,0.375,17
1048576,1022409,0.4,17
1048576,1048613,0.425,17
1048576,1048613,0.45,17
1048576,1048613,0.475,17
1048576,1048613,0.5,17
1048576,1048613,0.525,17
1048576,1048613,0.55,17
1048576,1048613,0.575,17
1048576,1022275,0.6,17
1048576,1005151,0.625,17
1048576,985812,0.65,17
1048576,962675,0.675,17
1048576,929421,0.7,17
1048576,895695,0.725,17
1048576,858289,0.75,17
1048576,815457,0.775,17
1048576,770707,0.8,17
1048576,713981,0.825,17
1048576,654925,0.85,17
1048576,588603,0.875,17
1048576,509590,0.9,17
1048576,416792,0.925,17
1048576,318738,0.95,17
1048576,209359,0.975,17
1048576,53,1.0,17
1048576,53,0.0,18
1048576,210966,0.025,18
1048576,322225,0.05,18
1048576,417648,0.075,18
1048576,509076,0.1,18
1048576,588302,0.125,18
1048576,655240,0.15,18
1048576,714086,0.175,18
1048576,770801,0.2,18
1048576,815633,0.225,18
1048576,857739,0.25,18
1048576,895904,0.275,18
1048576,930289,0.3,18
1048576,962563,0.325,18
1048576,986285,0.35,18
1048576,1005441,0.375,18
1048576,1022944,0.4,18
1048576,1035864,0.425,18
1048576,1048613,0.45,18
1048576,1048613,0.475,18
1048576,1048613,0.5,18
1048576,1048613,0.525,18
1048576,1048613,0.55,18
1048576,1035921,0.575,18
1048576,1022724,0.6,18
1048576,1005590,0.625,18
1048576,986053,0.65,18
1048576,962910,0.675,18
1048576,929708,0.7,18
1048576,895877,0.725,18
1048576,858664,0.75,18
1048576,815797,0.775,18
1048576,770972,0.8,18
1048576,713874,0.825,18
1048576,654918,0.85,18
1048576,588667,0.875,18
1048576,508786,0.9,18
1048576,416863,0.925,18
1048576,318804,0.95,18
1048576,210905,0.975,18
1048576,53,1.0,18
1048576,53,0.0,19
1048576,211082,0.025,19
1048576,319824,0.05,19
1048576,417595,0.075,19
1048576,509018,0.1,19
1048576,588281,0.125,19
1048576,655168,0.15,19
1048576,714085,0.175,19
1048576,770735,0.2,19
1048576,815605,0.225,19
1048576,857715,0.25,19
1048576,895858,0.275,19
1048576,930317,0.3,19
1048576,962472,0.325,19
1048576,986244,0.35,19
1048576,1005431,0.375,19
1048576,1022922,0.4,19
1048576,1035801,0.425,19
1048576,1048613,0.45,19
1048576,1048613,0.475,19
1048576,1048613,0.5,19
1048576,1048613,0.525,19
1048576,1048613,0.55,19
1048576,1035906,0.575,19
1048576,1022620,0.6,19
1048576,1005552,0.625,19
1048576,985938,0.65,19
1048576,962767,0.675,19
1048576,929501,0.7,19
1048576,895951,0.725,19
1048576,858406,0.75,19
1048576,815702,0.775,19
1048576,770883,0.8,19
1048576,713942,0.825,19
1048576,654938,0.85,19
1048576,588689,0.875,19
1048576,508783,0.9,19
1048576,416852,0.925,19
1048576,318565,0.95,19
1048576,210857,0.975,19
1048576,53,1.0,19
1048576,53,0.0,20
1048576,211082,0.025,20
1048576,319824,0.05,20
1048576,417595,0.075,20
1048576,509018,0.1,20
1048576,588281,0.125,20
1048576,655168,0.15,20
1048576,714085,0.175,20
1048576,770735,0.2,20
1048576,815605,0.225,20
1048576,857715,0.25,20
1048576,895858,0.275,20
1048576,930317,0.3,20
1048576,962472,0.325,20
1048576,986244,0.35,20
1048576,1005431,0.375,20
1048576,1022922,0.4,20
1048576,1035801,0.425,20
1048576,1048613,0.45,20
1048576,1048613,0.475,20
1048576,1048613,0.5,20
1048576,1048613,0.525,20
1048576,1048613,0.55,20
1048576,1035906,0.575,20
1048576,1022620,0.6,20
1048576,1005552,0.625,20
1048576,985938,0.65,20
1048576,962767,0.675,20
1048576,929501,0.7,20
1048576,895951,0.725,20
1048576,858406,0.75,20
1048576,815702,0.775,20
1048576,770883,0.8,20
1048576,713942,0.825,20
1048576,654938,0.85,20
1048576,588689,0.875,20
1048576,508783,0.9,20
1048576,416852,0.925,20
1048576,318565,0.95,20
1048576,210857,0.975,20
1048576,53,1.0,20
1048576,53,0.0,21
1048576,211082,0.025,21
1048576,319824,0.05,21
1048576,417595,0.075,21
1048576,509018,0.1,21
1048576,588281,0.125,21
1048576,655168,0.15,21
1048576,714085,0.175,21
1048576,770735,0.2,21
1048576,815605,0.225,21
1048576,857715,0.25,21
1048576,895858,0.275,21
1048576,930317,0.3,21
1048576,962472,0.325,21
1048576,986244,0.35,21
1048576,1005431,0.375,21
1048576,1022922,0.4,21
1048576,1035801,0.425,21
1048576,1048613,0.45,21
1048576,1048613,0.475,21
1048576,1048613,0.5,21
1048576,1048613,0.525,21
1048576,1048613,0.55,21
1048576,1035906,0.575,21
1048576,1022620,0.6,21
1048576,1005552,0.625,21
1048576,985938,0.65,21
1048576,962767,0.675,21
1048576,929501,0.7,21
1048576,895951,0.725,21
1048576,858406,0.75,21
1048576,815702,0.775,21
1048576,770883,0.8,21
1048576,713942,0.825,21
1048576,654938,0.85,21
1048576,588689,0.875,21
1048576,508783,0.9,21
1048576,416852,0.925,21
1048576,318565,0.95,21
1048576,210857,0.975,21
1048576,53,1.0,21
1048576,53,0.0,22
1048576,211082,0.025,22
1048576,319824,0.05,22
1048576,417595,0.075,22
1048576,509018,0.1,22
1048576,588281,0.125,22
1048576,655168,0.15,22
1048576,714085,0.175,22
1048576,770735,0.2,22
1048576,815605,0.225,22
1048576,857715,0.25,22
1048576,895858,0.275,22
1048576,930317,0.3,22
1048576,962472,0.325,22
1048576,986244,0.35,22
1048576,1005431,0.375,22
1048576,1022922,0.4,22
1048576,1035801,0.425,22
1048576,1048613,0.45,22
1048576,1048613,0.475,22
1048576,1048613,0.5,22
1048576,1048613,0.525,22
1048576,1048613,0.55,22
1048576,1035906,0.575,22
1048576,1022620,0.6,22
1048576,1005552,0.625,22
1048576,985938,0.65,22
1048576,962767,0.675,22
1048576,929501,0.7,22
1048576,895951,0.725,22
1048576,858406,0.75,22
1048576,815702,0.775,22
1048576,770883,0.8,22
1048576,713942,0.825,22
1048576,654938,0.85,22
1048576,588689,0.875,22
1048576,508783,0.9,22
1048576,416852,0.925,22
1048576,318565,0.95,22
1048576,210857,0.975,22
1048576,53,1.0,22
